gene_id,id,astrocytes_1,astrocytes_2,endothelial_1,endothelial_2,microglia_macrophage_1,microglia_macrophage_2,myelinating_oligodendrocyte_1,myelinating_oligodendrocyte_2,neurons_1,neurons_2,newly_formed_oligodendrocyte_1,newly_formed_oligodendrocyte_2,opc_1,opc_2
"Tep1 - Mus musculus",109573,0.640365,0.667248,0.474764,0.479932,4.586554,3.978743,0.448037,0.45775,0.366676,0.760027,0.556846,0.442289,0.530602,0.266547
"Tepp - Mus musculus",1920657,0.433114,0.1,0.539724,1.304596,0.1,0.1,0.1,0.1,0.181527,0.1,0.1,0.1,0.1,0.1
"Terc - Mus musculus",109558,0.1,0.1,0.1,0.1,0.310315,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Terf1 - Mus musculus",109634,5.794324,5.774505,8.3374,7.689189,1.296912,0.529879,0.742898,1.081926,4.187089,5.061506,3.188091,1.56911,6.330861,2.316943
"Terf2 - Mus musculus",1195972,9.292194,8.991613,12.494164,12.221705,7.992877,7.645615,2.359885,2.559253,10.911266,10.512785,4.838843,4.778784,8.288842,7.632984
"Terf2ip - Mus musculus",1929871,4.193502,3.909278,2.831171,2.793335,1.118489,0.867655,2.48156,2.761627,12.17757,13.169621,3.972215,3.588625,6.62465,4.324022
"Tert - Mus musculus",1202709,0.271679,0.385729,0.1,0.12505,0.1,0.1,0.1,0.1,1.081365,1.123736,0.312206,0.18665,0.781628,0.733079
"Tes - Mus musculus",105081,0.325955,0.482336,58.705286,58.568818,7.350992,5.54606,0.1,0.1,1.265093,1.153666,0.9468,0.425738,2.600025,1.011006
"Tesc - Mus musculus",1930803,0.1,0.1,0.131616,0.117346,1.413145,2.883568,0.521486,2.278071,1.589208,0.638822,0.1212,0.252191,0.462211,1.592598
"Tesk1 - Mus musculus",1201675,4.157695,6.084617,5.716708,5.678102,23.094509,25.647311,4.793241,5.095338,17.391195,14.939451,6.23617,10.948895,9.333803,14.783477
"Tesk2 - Mus musculus",2385204,3.391465,2.754139,0.755446,0.841161,1.767151,1.204199,9.025111,8.457645,0.41026,0.622643,6.886248,4.655143,4.020885,3.374363
"Tet1 - Mus musculus",1098693,5.20469,6.095717,0.542964,0.611252,0.177112,0.1,0.589737,0.741475,3.023409,4.411947,3.45886,1.096087,3.94821,1.387091
"Tet2 - Mus musculus",2443298,13.19554,11.068843,3.989614,4.40441,2.239608,1.022556,0.142899,0.404295,3.502605,6.260901,3.640142,1.274221,6.812288,1.950204
"Tet3 - Mus musculus",2444739,8.600622,9.321588,5.771603,5.535151,7.889821,6.130889,2.825776,4.32244,17.762428,19.334893,7.292526,7.065957,6.035463,5.200469
"Tex10 - Mus musculus",1344413,8.601503,8.129902,6.587851,6.300253,3.436061,2.72385,2.343304,2.137423,5.467398,6.027149,5.723783,5.463459,8.827773,8.741014
"Tex101 - Mus musculus",1930791,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tex11 - Mus musculus",1933237,0.1,0.1,0.183092,0.369241,0.14685,0.157141,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tex12 - Mus musculus",1913904,0.124447,0.113099,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.111163,0.1
"Tex13 - Mus musculus",1890544,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tex13a - Mus musculus",1915194,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tex14 - Mus musculus",1933227,0.193306,0.195676,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tex15 - Mus musculus",1934816,0.1,0.135409,0.1,0.1,0.1,0.1,0.1,0.1,0.757928,1.767787,0.123092,0.1,0.388295,0.238149
"Tex16 - Mus musculus",1918280,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tex19.1 - Mus musculus",1920929,0.1,0.1,0.1,0.1,0.11648,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tex19.2 - Mus musculus",1918206,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tex2 - Mus musculus",102465,6.949082,6.449472,3.868716,3.670863,2.968408,3.108795,7.730142,8.038309,9.809534,10.19491,9.912192,8.570698,7.089866,7.264148
"Tex21 - Mus musculus",1931131,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tex22 - Mus musculus",1922921,0.1,0.1,0.1,0.1,0.1,0.1,0.155858,0.1,0.1,0.1,0.229218,0.118903,0.1,0.1
"Tex24 - Mus musculus",3644291,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tex261 - Mus musculus",1096575,20.291113,17.609348,16.524253,17.71901,38.688676,57.067689,17.557451,20.373111,12.881817,11.052477,30.009485,47.392231,31.236027,45.036405
"Tex264 - Mus musculus",1096570,19.394429,18.726941,24.108005,26.100626,29.460808,41.590621,39.422303,39.308552,37.803787,39.654887,28.723543,37.58931,23.221643,34.424827
"Tex28 - Mus musculus",2686384,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tex9 - Mus musculus",1201610,6.658027,5.580121,0.374916,0.294473,0.1,0.1,0.263439,0.355962,1.09588,2.716095,1.207286,0.535668,2.158994,1.638453
"Tfam - Mus musculus",107810,5.332209,5.214353,5.334535,5.460188,2.720862,2.234836,2.726896,3.203306,5.725022,5.686826,4.437546,4.074092,5.596824,7.491361
"Tfb1m - Mus musculus",2146851,2.431989,1.688005,1.281657,1.053396,0.630279,0.788428,1.850324,1.827358,1.997321,2.430929,1.9207,2.295533,2.283918,2.238116
"Tfb2m - Mus musculus",3037676,2.507081,2.272275,2.720262,3.031173,0.349701,0.186969,0.800595,0.724405,2.773045,4.444126,3.233016,2.759087,3.787451,3.014494
"Tfdp1 - Mus musculus",101934,5.750963,6.433885,7.364057,7.925597,2.768268,1.884213,6.133544,6.401734,6.443497,7.065772,11.818307,11.865299,12.733431,16.019569
"Tfdp2 - Mus musculus",107167,3.808606,4.129465,5.520649,5.556572,1.190727,0.607885,4.084052,3.947027,2.628364,3.364563,5.851967,3.604975,5.481236,3.898293
"Tff1 - Mus musculus",88135,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.160247,0.1,0.1,0.1
"Tff2 - Mus musculus",1306805,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tff3 - Mus musculus",104638,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tfg - Mus musculus",1338041,18.63662,20.957843,21.773703,23.235897,9.247868,8.609231,23.583674,23.488653,26.316404,32.972945,44.487364,32.410402,36.243123,31.725207
"Tfip11 - Mus musculus",1930075,6.695606,7.405428,8.521146,9.045392,14.586146,14.998993,7.021083,7.193935,8.596062,10.185564,6.917565,10.247085,6.623219,9.258518
"Tfpi - Mus musculus",1095418,0.988744,1.378924,54.504067,59.885957,7.019544,5.7736,0.475914,0.419945,1.328033,1.711977,1.747128,1.48986,5.624959,4.623901
"Tfpi2 - Mus musculus",108543,0.1,0.1,3.716301,3.322345,0.10162,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tfpt - Mus musculus",1916964,6.675506,6.602663,10.528237,11.724469,6.471248,8.309622,9.386619,10.095974,9.412867,9.433798,8.166255,12.675068,7.942779,11.085237
"Tfrc - Mus musculus",98822,31.19814,26.404253,839.881912,756.473045,7.101106,3.857894,14.071461,16.13329,13.176074,19.421147,32.20827,16.300831,23.100066,11.935905
"Tg - Mus musculus",98733,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"Tgds - Mus musculus",1923605,5.595055,4.24396,4.555755,5.888859,1.783412,1.192528,1.135583,1.046747,0.979192,1.089631,3.749878,2.301147,3.887962,3.168942
"Tgfa - Mus musculus",98724,5.030104,5.416668,17.33627,14.896531,16.542334,15.146571,29.738456,33.967272,3.954904,3.677282,56.604063,54.189809,57.597029,46.315687
